case_title,description,results,lessons_learned,success
"Google: Doodles","Google использует временные логотипы (дудлы) на своей главной странице для празднования событий и людей.","Увеличение вовлеченности пользователей, рост числа поисковых запросов на 10%.","Креативные подходы к маркетингу могут привлечь внимание к вашему бренду.","Yes"
"LinkedIn: Professional Networking","LinkedIn создал платформу для профессионального общения и поиска работы.","Увеличение числа пользователей на 50%, рост доходов на 25%.","Создание сообщества для профессионалов может привести к долгосрочному успеху.","Yes"
"Under Armour: The Rock Campaign","Under Armour использовал знаменитого актера и спортсмена Дуэйна Джонсона для продвижения своей продукции.","Рост продаж на 30%, увеличение вовлеченности в соцсетях на 50%.","Сотрудничество с известными личностями может повысить узнаваемость бренда.","Yes"
"Starbucks: Mobile Ordering","Starbucks внедрил систему мобильного заказа, позволяя клиентам заказывать заранее через приложение.","Увеличение числа заказов на 20%, рост удовлетворенности клиентов на 15%.","Упрощение процесса заказа может улучшить клиентский опыт.","Yes"
"Zara: Fast Fashion Strategy","Zara использует модель быстрого производства, позволяя быстро реагировать на изменения модных трендов.","Рост продаж на 25%, увеличение доли рынка на 15%.","Гибкость в производстве может стать ключом к успеху.","Yes"
"Blizzard: Community Engagement","Blizzard активно взаимодействует с игроками через форумы и мероприятия.","Рост числа активных пользователей на 30%, высокая степень удержания клиентов.","Создание сообщества может стать основой для успешного продукта.","Yes"
"Adobe: Free Trials","Adobe предлагает бесплатные пробные версии своих программ для привлечения новых пользователей.","Рост числа подписчиков на 40%, увеличение доходов на 20%.","Предложение пробных версий может стимулировать продажи.","Yes"
"Tesla: Supercharger Network","Tesla запустила сеть зарядных станций для своих электромобилей, улучшая доступность.","Рост продаж на 50%, улучшение имиджа в глазах потребителей.","Создание инфраструктуры может увеличить продажи продукта.","Yes"
"Dropbox: Business Model","Dropbox использует модель freemium, предлагая базовые функции бесплатно и платные расширенные услуги.","Увеличение числа пользователей на 60%, рост доходов на 40%.","Модель freemium может быть эффективной для роста.","Yes"
"Warby Parker: Social Impact","Warby Parker предлагает одну бесплатную пару очков для каждого проданного набора.","Рост продаж на 25%, положительный имидж компании.","Социальная ответственность может увеличить лояльность клиентов.","Yes"
"GoPro: Content Marketing","GoPro использует контент, созданный пользователями, для продвижения своих камер.","Увеличение продаж на 40%, рост вовлеченности на 200%.","Контент, созданный пользователями, может стать мощным инструментом маркетинга.","Yes"
"Pepsi: The Pepsi Challenge","Pepsi проводит слепые дегустации, сравнивая свой продукт с Coca-Cola.","Рост продаж на 20%, значительное увеличение доли рынка.","Сравнительные кампании могут привлечь новую аудиторию.","Yes"
"Fenty Beauty: Inclusive Range","Fenty Beauty предлагает широкий диапазон тонов для всех типов кожи, что привлекло широкий круг покупателей.","Увеличение продаж на 30%, положительные отзывы от сообщества.","Инклюзивность может стать ключевым фактором успеха.","Yes"
"Charity: Water: Birthday Campaign","Charity: Water предлагает людям отмечать дни рождения, собирая деньги на чистую воду.","Рост пожертвований на 300%, увеличение числа участников на 50%.","Индивидуальные инициативы могут создать сильную связь с благотворительностью.","Yes"
"Spotify: Podcast Strategy","Spotify активно развивает подкастинг, предлагая эксклюзивный контент.","Рост подписчиков на 25%, увеличение времени прослушивания на 40%.","Диверсификация контента может привлечь новую аудиторию.","Yes"
"McDonald's: Happy Meal Toys","McDonald's предлагает игрушки в наборе Happy Meal, привлекая детей и их родителей.","Увеличение продаж на 10%, рост лояльности среди семей.","Интеграция развлечений может повысить интерес к продукту.","Yes"
"LinkedIn: Premium Subscriptions","LinkedIn предлагает платные подписки для улучшения возможностей поиска работы и нетворкинга.","Рост доходов на 20%, увеличение числа подписчиков на 30%.","Предложение дополнительных услуг может увеличить доходы.","Yes"
"Burberry: Digital Innovation","Burberry активно использует цифровые технологии для создания интерактивных опытов для своих клиентов.","Рост продаж на 15%, увеличение вовлеченности в соцсетях на 50%.","Цифровые инновации могут улучшить клиентский опыт.","Yes"
"American Express: Membership Rewards","American Express предлагает программу лояльности с накоплением баллов за покупки.","Увеличение числа карт на 20%, рост удержания клиентов на 30%.","Программы лояльности могут повысить приверженность к бренду.","Yes"
"Apple: Think Different Campaign","Кампания Apple, направленная на позиционирование компании как инноватора.","Увеличение продаж на 30% в течение года, значительный рост узнаваемости бренда.","Сильные эмоциональные послания могут создать мощный имидж бренда.","Yes"
"GoPro: HERO4 Launch","GoPro организовал кампанию, приуроченную к запуску HERO4, с акцентом на экстрим и приключения.","Продажи увеличились на 20% в первый месяц после запуска.","Фокус на уникальных характеристиках продукта может привлечь целевую аудиторию.","Yes"
"Red Bull: Red Bull Racing","Red Bull активно спонсирует команду Формулы-1, создавая ассоциацию с высокой производительностью.","Рост продаж на 15% в период гоночного сезона.","Спонсорство может значительно повысить имидж бренда.","Yes"
"LEGO: Movie Partnership","LEGO сотрудничал с производителями фильмов, выпуская наборы по мотивам популярных фильмов.","Увеличение продаж на 25%, рост интереса к продуктам LEGO.","Сотрудничество с киноиндустрией может привлечь новую аудиторию.","Yes"
"Airbnb: Experiences","Airbnb расширил свои услуги, предлагая уникальные впечатления от местных жителей.","Рост числа бронирований на 20%, положительные отзывы о сервисе.","Расширение предложения может увеличить интерес к платформе.","Yes"
"Sephora: Virtual Artist","Sephora внедрила технологию дополненной реальности, позволяя клиентам примерять косметику онлайн.","Увеличение продаж на 15%, рост вовлеченности пользователей на 50%.","Инновационные технологии могут улучшить опыт покупок.","Yes"
"Netflix: Stranger Things Marketing","Netflix использовал ностальгические элементы 80-х для продвижения шоу Stranger Things.","Увеличение числа подписчиков на 50%, вирусное распространение контента в соцсетях.","Тематические кампании могут привлечь внимание целевой аудитории.","Yes"
"Slack: Brand Partnerships","Slack сотрудничает с другими платформами, чтобы улучшить интеграции и функциональность.","Рост числа пользователей на 40%, увеличение удовлетворенности клиентов на 20%.","Партнерства могут улучшить продукт и привлечь новых клиентов.","Yes"
"Unilever: Dove Campaign for Real Beauty","Dove запустил кампанию, подчеркивающую естественную красоту женщин.","Увеличение продаж на 30%, положительные отклики от женщин по всему миру.","Социальные проблемы могут быть основой для успешного маркетинга.","Yes"
"Warby Parker: Virtual Try-On","Warby Parker предложил возможность виртуальной примерки очков через мобильное приложение.","Рост продаж на 25%, увеличение числа пользователей на 40%.","Инновации в технологии могут улучшить клиентский опыт.","Yes"
"Patagonia: 1% for the Planet","Patagonia жертвует 1% от продаж на экологические проекты.","Положительный имидж бренда, рост лояльности клиентов на 20%.","Социальные инициативы могут укрепить бренд.","Yes"
"Spotify: Artist Fundraising Pick","Spotify предоставляет артистам возможность собирать средства во время пандемии через платформу.","Увеличение вовлеченности и поддержки артистов, рост подписчиков на 15%.","Поддержка сообщества может укрепить связь с пользователями.","Yes"
"Ben & Jerry's: Activism","Ben & Jerry's активно выступает за социальные и экологические изменения.","Увеличение продаж на 10%, рост лояльности среди целевой аудитории.","Активизм может создать прочные связи с клиентами.","Yes"
"Samsung: Galaxy Note Launch","Samsung использовал масштабные мероприятия для запуска Galaxy Note, акцентируя внимание на новых функциях.","Рост продаж на 20% в первый месяц, увеличение обсуждаемости в соцсетях.","Эффективные запуски продуктов могут создать ажиотаж.","Yes"
"Victoria's Secret: Fashion Show","Victoria's Secret организует модное шоу, чтобы продемонстрировать свою продукцию и привлечь внимание.","Увеличение продаж на 15%, рост узнаваемости бренда.","Крупные события могут значительно повысить интерес к продукту.","Yes"
"Chipotle: Responsibly Raised Campaign","Chipotle акцентирует внимание на качестве своих ингредиентов и ответственности за окружающую среду.","Рост продаж на 25%, увеличение лояльности клиентов на 30%.","Фокус на качестве может привлечь целевую аудиторию.","Yes"
"Nestle: Nespresso Sustainability Campaign","Nespresso запустил кампанию, подчеркивающую свои усилия по устойчивому развитию и переработке капсул.","Рост продаж на 20%, положительные отзывы о бренде.","Устойчивое развитие может стать основой для нового подхода к маркетингу.","Yes"
"American Express: Shop Small Campaign","American Express поддерживает малый бизнес через день покупок.","Увеличение покупок в малом бизнесе на 30%, рост числа участников на 50%.","Поддержка местного бизнеса может создать положительный имидж.","Yes"
"Facebook: Community Standards","Facebook внедрил стандарты сообщества для улучшения качества контента на платформе.","Увеличение удовлетворенности пользователей на 20%, снижение уровня троллинга.","Четкие правила могут улучшить опыт пользователей.","Yes"
"Tesla: Referral Program","Tesla предлагает владельцам автомобилей бонусы за привлечение новых клиентов.","Рост продаж на 40%, увеличение числа рефералов на 50%.","Эффективные реферальные программы могут ускорить рост.","Yes"
"Adidas: Futurecraft 4D","Adidas представил обувь с 3D-печатью, подчеркивая инновации и технологии.","Увеличение продаж на 30%, положительные отзывы о продукте.","Инновации в производстве могут привлечь внимание к бренду.","Yes"
"Peugeot: The French Art of Travel","Peugeot организовал кампанию, акцентируя внимание на французской культуре и путешествиях.","Рост продаж на 15%, увеличение интереса к бренду.","Культурные элементы могут создать уникальное позиционирование.","Yes"
"Air France: The Art of Travel","Air France продвигала свою компанию, акцентируя внимание на удобствах и искусстве путешествий.","Увеличение числа бронирований на 20%, рост удовлетворенности клиентов.","Фокус на клиентском опыте может повысить лояльность.","Yes"
"Microsoft: Windows 10 Free Upgrade","Microsoft предложил бесплатное обновление до Windows 10 для пользователей Windows 7 и 8.","Увеличение числа пользователей на 200 миллионов в первый год.","Стратегия бесплатного обновления может ускорить принятие продукта.","Yes"
"Target: Holiday Campaign","Target запустил праздничную кампанию с акцентом на уникальные товары и скидки.","Увеличение продаж на 25% в праздничный сезон, рост посещаемости магазинов.","Креативные праздники могут привлечь клиентов в магазины.","Yes"
"Twitter: #StayHome Campaign","Twitter запустил кампанию, призывающую пользователей оставаться дома во время пандемии.","Рост вовлеченности на 30%, положительные отзывы о социальной ответственности.","Массовые социальные кампании могут укрепить связь с пользователями.","Yes"

