term,definition,category
Шаблоны Яндекс.Директ,инструмент для автоматической подстановки ключевых слов в рекламные объявления Яндекс.Директ,Функционал
Расширения рекламных объявлений,"элементы поискового объявления, цель которых – сделать объявление более информативным и привлечь внимание потенциальных клиентов. Включают быстрые ссылки с описаниями, дополнения, визитку, контакты и рейтинг компании",Функционал
Операторы ключевых слов,"специальные символы, которые фиксируют падеж, склонение, количество и порядок слов в ключевых фразах Яндекс.Директа",Функционал
Типы соответствия ключевых слов,"специальные символы, которые расширяют или сужают содержание ключевых слов в Google Ads",Функционал
Минус-слова,"слова, которые блокируют показ объявлений по запросам, напрямую не связанным с тем, что вы продаете",Функционал
Кросс-минусация,"добавление к ключевым словам дополнительных минус-слов, которые исключают пересечения между этими ключевыми словами",Функционал
Дубли ключевых слов,"ключевые фразы, которые повторяют друг друга или частично пересекаются, а потому конкурируют за показ объявления между собой",Функционал
Yandex Wordstat,"бесплатный сервис Яндекса, в котором собрана статистика поисковых запросов в системе",Инструменты
Планировщик ключевых слов Google,инструмент Google Ads для подбора ключевых слов,Инструменты
Стратегия SKAG,способ организации рекламного аккаунта Google по формуле «1 группа объявлений = 1 ключевая фраза»,Стратегии
Умные кампании Google Ads,"кампании контекстно-медийной сети и торговые кампании, в которых автоматизированы настройка таргетинга, расчет ставок и создание рекламных объявлений",Стратегии
Трафареты Яндекса,"технология, которая определяет, как расположится реклама в поисковой выдаче и как она будет выглядеть. Цель – показать каждому пользователю максимально подходящие под его запрос результаты",Функционал
Скрипты Google Ads,"фрагменты JavaScript-кода, которые автоматизируют функции как внутри аккаунта, так и взаимодействие с внешними данными. Например, отключают ключевики с 0 кликов и проверяют битые ссылки",Инструменты
PriceLabs,"бид-менеджер для Яндекс.Маркета, с помощью которого можно настраивать автоматическое обновление ставок, мониторить цены конкурентов, анализировать эффективность и повышать конверсию в заказы",Инструменты
Альфа-бета кампании в Google Ads,методика создания поисковой рекламы с максимально точным подбором ключей,Стратегии
Медийная реклама,"реклама, ориентированная на визуальное восприятие аудиторией (обычно в виде графических баннеров, либо видео)",Реклама
Баннер на поиске Яндекса,"медийный формат объявления в Яндекс.Директе, располагается на главной странице поисковика (обычно прямо под строкой поиска)",Реклама
Аудиторный таргетинг,настройка показов рекламы на аудиторию с определенными параметрами – от пола и возраста до интересов и геолокации,Таргетинг
Ретаргетинг,"показ рекламных объявлений в Яндекс.Директе пользователям, которые уже посещали посадочную страницу",Стратегии
Гиперлокальный таргетинг,"технология, которая позволяет показывать объявления аудитории по её местоположению (вплоть до конкретных зданий)",Таргетинг
Автотаргетинг,"технология показа объявлений, при которой ключевые слова не нужны. Автоматические алгоритмы Яндекса приводят аудиторию на основании анализа контента сайта, текстов рекламных объявлений",Таргетинг
Динамический ретаргетинг,"технология, которая позволяет рекламировать конкретные товары пользователям, с учетом их истории покупок, посещений сайта, демографических данных. В Google Ads такая технология называется динамический ремаркетинг",Стратегии
Google Merchant Center,"платформа, где хранится информация обо всем ассортименте интернет-магазина или магазина в офлайне. Если её подключить к торговой кампании в Google Ads, можно настроить показ текстово-графических объявлений с ценниками на поиске",Инструменты
Google Shopping (Google Покупки),"сервис, который позволяет рекламировать товары интернет-магазинов в Google",Реклама
Яндекс.Маркет,"единая торговая площадка, где можно размещать для продажи какие угодно товары – от электроники до одежды – даже при отсутствии сайта",Платформы
Товарный фид,"файл с данными о товарах в виде структурированного списка, который упрощает создание динамических и товарных объявлений",Функционал
Onsite ретаргетинг,"технология, которая направлена на удержание пользователя на сайте до его ухода",Стратегии
Похожие аудитории (look-alike),"вид таргетинга, который позволяет расширить охват за счет пользователей, похожих на посетителей вашего сайта",Таргетинг
RLSA (поисковый ремаркетинг),"технология ремаркетинга в Google, которая подгоняет ставки и рекламные объявления для пользователей, которые уже посещали посадочную страницу",Стратегии
Поисковый ретаргетинг,"технология ретаргетинга в Яндексе, которая позволяет показывать на поиске рекламу пользователям, уже посещавшим посадочную страницу",Стратегии
Смарт-баннер Яндекса,"интерактивный баннер с динамическим контентом. Его можно показывать в сетях (РСЯ и внешних) и на поисковых площадках Яндекса пользователям, которые уже смотрели товары на вашем сайте или интересовались похожими товарами",Реклама
Яндекс.Аудитории,"сервис, в котором можно формировать сегменты аудитории на основе собственных данных и на основе данных Яндекса и провайдеров (DMP) и затем использовать в рекламных кампаниях для максимально широкого охвата",Инструменты
Кликфрод,"вид сетевого мошенничества, который заключается в автоматизированном или ручном скликивании рекламных объявлений конкурента с целью потратить его рекламный бюджет. Первые признаки кликфрода – аномально высокий CTR и показатель отказов",Мошенничество
Таргетированная реклама,"реклама, нацеленная на аудиторию с определенным сочетанием параметров (география, пол / возраст, интересы и т.д.)",Реклама
Таргетинг,"определенный параметр для подбора аудитории (география, пол / возраст, интересы и т.д.)",Функционал
Контекстный таргетинг,"вид таргетинга в myTarget и ВКонтакте, при котором алгоритм подбирает аудиторию на основе поисковых запросов пользователей на ресурсах этих площадок (система Mail ru в первую очередь).",Таргетинг
SMM (Social media marketing),привлечение и работа с целевой аудиторией из соцсетей. Включает в себя таргетированную рекламу и ведение сообществ,Маркетинг
Stories,инструмент постинга в соцсетях в виде коротких анимационных или видео-историй,Формат контента
Lead Ads,"рекламный формат в соцсетях, заточенный под сбор контактных данных пользователей",Реклама
Промопост,рекламный пост в новостной ленте (обычно используется ВКонтакте),Формат контента
Тизер,"небольшое текстово-графическое объявление, которое показывается рядом с новостной лентой",Реклама
Карусельная реклама,"рекламный формат в соцсетях, который выглядит как галерея карточек с изображениями, текстом, ссылками. Карточки прокручиваются автоматически и при нажатии на стрелки «Вперед» / «Назад»",Формат контента
Плейсмент,"регион, где показывается реклама (термин из рекламного кабинета соцсетей)",Реклама
Геймификация,прием внедрения игровых элементов в процесс взаимодействия бренда с потенциальными или существующими клиентами,Маркетинг
Автоворонка,"алгоритм последовательных действий, с помощью которых рекламодатель выстраивает отношения с будущим клиентом: от ознакомления с продуктом до покупки (обычно в виде автоматической рассылки серии сообщений в «личку» подписчика)",Стратегия
Кликбейт,"контент с эпатажным содержанием, в первую очередь – заголовками",Контент
Вебмастер,"человек, который несет ответственность за поддержание сайта в рабочем состоянии, его развитие и редактирование",Специалист
Пользовательский контент UGC (User generated content),"текст, изображения, видео, которыми пользователи делятся добровольно, например, в рамках участия в конкурсе. UGC создают ваши клиенты, и он работает на вас, помогая привлекать новую аудиторию и повышать лояльность существующей",Контент
CMS (Content Management System - система управления контентом),"программный продукт, который позволяет добавлять и редактировать тексты и мультимедийный контент на сайте",Инструменты
SEO (Search Engine Optimization - поисковая оптимизация),развитие и продвижение сайта с целью поднять его на первые позиции в результатах поисковой выдачи Яндекса / Google по конкретным запросам. Цель – увеличение посещаемости сайта,Маркетинг
SERP (поисковая выдача),"страница с результатами поиска, которая генерируется поисковой системой в ответ на поисковый запрос пользователя",Функционал
Семантическое ядро,"упорядоченный набор слов, их форм и сочетаний, которые наиболее точно характеризуют вид деятельности или продукт, рекламируемый на сайте",Аналитика
Анкорный текст (якорный текст),"кликабельный текст гиперссылки. Важный нюанс – не сама ссылка на сайт, а именно текст, который видит пользователь. Эксперты по SEO рекомендуют, чтобы анкор по смыслу максимально перекликался со страницей, на которую ведет гиперссылка",SEO
Альтернативный текст,"HTML-тег, в котором можно вставить описание изображения. Эти описания индексируются поисковыми системами и отображаются в результатах поиска по соответствующим ключевым словам. Кроме того, если пользователь отключает отображение картинок в браузере, то на месте картинок будет не пустая рамка, а альтернативный текст",SEO
Аффилированный (партнерский) сайт,"сайт, который продвигает продукты или услуги другой компании и зарабатывает на комиссии",Сайты
Бэклинк (обратная ссылка),"если сайт А содержит гиперссылку, которая ведет на сайт В, то для сайта В эта гиперссылка является обратной. Долгое время наращивание количества обратных ссылок было одним из главных способов повысить позиции сайта в поисковой выдаче. Особенно ценились ссылки с авторитетных сайтов, поскольку поисковые системы присваивали им больший «вес»",SEO
Клоакинг,"подмена контента, демонстрация поисковым роботам особого контента (оптимизированного специально под поисковик), в то время как реальные посетители сайта видят совсем другие материалы",SEO
«Хлебные крошки»,"цепочка навигационных ссылок, которая показывает, где посетитель находится в данный момент, и весь предыдущий путь",UX
Канонические URL,"стандартные ссылки, которым поисковые системы отдают предпочтение. Например: https://example.com/ или http://www.example.com/index.html",SEO
Органический трафик,"трафик, идущий через поисковую выдачу Яндекса или Google",Трафик
Link Building (наращивание ссылочной массы),действия по увеличению количества обратных ссылок на сайт для улучшения позиций в поисковой выдаче,SEO
Long Tail Keywords (ключевые фразы с «длинным хвостом»),"ключевые фразы, которые включают более 3 слов",SEO
Мета-тег,"HTML-тег, который позволяет вставить текстовое описание страницы. Он отображается в результатах поиска сразу под ссылкой на сайт",SEO
Куки (cookie),"небольшие файлы, которые хранятся в браузере компьютера пользователя и содержат информацию, связанную с посещениями им определенных сайтов. Куки используются для отслеживания истории посещения страниц и выявления предпочтений пользователей",Технологии
Title-tags (теги заголовков),"HTML-теги, описывающие заголовки страницы. Заголовки отображаются вместе с описанием сайта на странице поисковой выдачи",SEO
Site Map (карта сайта),иерархический список всех страниц сайта по аналогии с оглавлением сложного документа или книги,SEO
Google AdSense,"сервис Google, с помощью которого можно разместить на своем сайте рекламные объявления. Владелец сайта при этом зарабатывает определенную сумму за каждый клик посетителей по этим объявлениям",Инструменты
ТИЦ (тематический индекс цитирования),"технология Яндекса, которая определяет авторитетность ресурсов в интернете по наличию ссылок на них с других сайтов",SEO
Ранжирование сайтов,"сортировка сайтов в поисковой выдаче по множеству факторов. Среди них – рейтинг сайта, количество и качество внешних ссылок, релевантность текста к поисковому запросу",SEO
Перелинковка,связывание гиперссылками страниц одного сайта или разных ресурсов,SEO
Пользовательская сессия (сеанс),"время, которое пользователь провел на сайте / в приложении",Аналитика
Целевой клик,клик по рекламному объявлению от целевого пользователя,Мет
Вебвизор,"технология Яндекс.Метрики, благодаря которой можно анализировать в режиме онлайн-видео все действия посетителей сайта: движения мыши, клики, скроллинг, нажатие на клавиши и заполнение форм, выделение и копирование текста",Аналитика
Тепловая карта,графическое отображение наиболее кликабельных областей сайта,Аналитика
Статический коллтрекинг,"инструмент для учета и анализа входящих телефонных звонков, который закрепляет индивидуальный номер за каждым каналом привлечения трафика. Динамический коллтрекинг– инструмент для учета и анализа входящих телефонных звонков, который закрепляет индивидуальный номер за отдельными сессиями посетителей сайта",Аналитика
Сквозная аналитика,анализ эффективности инвестиций в маркетинг на основе данных по всей воронке продаж: от просмотра объявления до покупки / повторной покупки,Аналитика
Google BigQuery,"облачная система управления базами данных, расположенных в Google Storage",Инструменты
CRM-система,"программное обеспечение, с помощью которого можно собирать, накапливать и анализировать информацию, связанную с взаимодействием компании с клиентами через все каналы коммуникаций",Инструменты
UX-дизайн,"дизайн, созданный с целью создать положительный опыт взаимодействия пользователя с сайтом и всеми его элементами",Дизайн
Лендинг (посадочная страница),"страница, куда переходят пользователи после клика по рекламному объявлению",Страницы
Мультилендинг,"страница с динамическим контентом, содержимое которой меняется в зависимости от поискового запроса, если пользователь приходит с поисковой рекламы в Яндексе & Google, или от набора таргетингов, если он приходит с рекламы в сетях",Страницы
Прототип лендинга,"макет (эскиз) интерфейса будущего лендинга, нарисованный от руки или в специализированном сервисе",Дизайн
Юзабилити (Usability),удобство пользования конкретным ресурсом (насколько легко пользователям ориентироваться и находить нужную информацию),Аналитика
Mobile-friendly,"характеристика сайта, интерфейса, приложения, обозначающая удобство использования с мобильных устройств",Дизайн
AMP-лендинг,"посадочные страницы с ускоренной загрузкой на мобильных устройствах, созданные разработчиками Google",Страницы
Турбо-сайт (турбо-страница),"лендинги с ускоренной загрузкой в мобайле и десктопе, которые можно создать в Яндекс.Директе",Страницы
Квиз-лендинг (сокращенно – квиз),посадочная страница с опросником для уточнения потребностей клиентов,Страницы
Мультиквиз,лендинг-опросник с динамическим заголовком (который меняется под запрос пользователя). То есть этот инструмент – сочетание двух технологий: квиза и динамического контента,Страницы
СТА (Call to action - призыв к действию),"призыв, мотивирующий посетителя на желаемое для рекламодателя действие – заполнение формы, обратный звонок и т.д.",Маркетинг
Лид-форма (форма заявки),форма для сбора контактов посетителей сайта,Формы
Hero Image,"– как правило, первый визуальный образ, который посетители видят, заходя на сайт",Дизайн
Click to Call (звонок по клику),"кнопка на мобильной версии сайта или в мобильном приложении, позволяющая посетителям напрямую позвонить по указанному номеру телефона",Инструменты
Pop-up (всплывающее окно),"элемент интерфейса, который отображается поверх страницы для вовлечения посетителя на какой-либо этапе знакомства с контентом",Инструменты
Виджет,"приложение, которое выполняет определенную функцию на сайте (например, кнопка обратного звонка, онлайн-консультант)",Инструменты
Социальные кнопки,"ссылки на аккаунты соцсетей компании, размещенные на сайте",Инструменты
Слайдер,"элемент сайта в виде блока из картинок / текстов / ссылок, которые прокручиваются в ручном или автоматическом режиме",Дизайн
Онлайн-консультант,инструмент для обмена сообщениями в реальном времени (обычно с менеджерами клиентской поддержки компании),Инструменты
Callback (кнопка обратного звонка),"виджет для сбора заявок с сайта. Он предлагает посетителю сайта оставить номер телефона, по которому можно перезвонить для дальнейшей коммуникации с ним",Инструменты
Страница благодарности,"страница, на которую перенаправляется пользователь после того, как совершил целевое действие на сайте. Главная функция – подтвердить совершение этого действия",Страницы
Push-уведомления,"короткие сообщения, которые сайт рассылает подписчикам на компьютеры и мобильные устройства с целью вернуть посетителей на сайт",Маркетинг
Баннеры,прямоугольные области различных размеров для показа рекламных объявлений на сайте. Со временем сложились определенные стандарты размеров баннеров и их расположения на странице,Реклама
Медиаплан,"документ, в котором подробно прописаны цели и график маркетинговых мероприятий с прогнозными показателями",Планирование
Рекламный бюджет,"сумма, которую вы готовы выделить на рекламу на определенный период времени",Бюджетирование
Уникальное торговое предложение,"предложение приобрести продукт и получить конкретную выгоду (свойства товара или условия сервиса), которой нет у ваших конкурентов",Маркетинг
Ценностное предложение,"торговое предложение под конкретный сегмент аудитории сайта. Обычно заключается в заголовке, подзаголовке страницы и призыве к действию",Маркетинг
Портрет покупателя,совокупность характеристик «идеального» клиента компании,Аудитория
Сегментация целевой аудитории,деление аудитории на сегменты по схожим потребностям,Аудитория
STP-маркетинг,"подход, ориентированный на клиента и его потребности и состоящий из 3 условных этапов: анализ и сегментация аудитории (Segmentation), таргетинг (Targeting) и позиционирование (Positioning)",Маркетинг
Performance marketing,"подход к интернет-рекламе, направленный на максимально прозрачное соотношение между бюджетом на канал и фактическими продажами",Маркетинг
Email-маркетинг,стратегия использования электронной почты (email-рассылки) для привлечения и удержания клиентов,Маркетинг
Нейромаркетинг,методы по изучению поведения покупателей и способы воздействия на него с помощью когнитивной психологии и нейрофизиологии,Маркетинг
Партизанский маркетинг,методы продвижения без вложения больших бюджетов за счет существующих ресурсов с целью создать хайп на ровном месте,Маркетинг
Event-маркетинг (событийный маркетинг),"методы продвижения, которые заключаются в организации и проведении запоминающихся событий и рекламных мероприятий",Маркетинг
Реферальный маркетинг,"методы продвижения продукта не через традиционные рекламные каналы, а через действующих клиентов, которые получают за это вознаграждение (партнерскую комиссию)",Маркетинг
Сторителлинг,"маркетинговый прием, который предполагает донесение информации целевой аудитории через истории и примеры",Маркетинг
Onboarding,"обучение пользователя онлайн-сервиса или мобильного приложения с целью показать ему максимальную ценность продукта, чтобы в будущем сделать его постоянным клиентом",Маркетинг
Вирусный маркетинг,"методы продвижения, которые заключаются в распространении рекламного сообщения через его получателей по их собственной инициативе",Маркетинг
Data-driven маркетинг,"маркетинг, основанный на данных",Маркетинг
Growth Hacking,"резкое наращивание масштабов бизнеса в короткие сроки. Достигается за счет различных приемов – например, инновационных маркетинговых методов в сочетании с SEO, А/В тестированием, агрессивной ценовой политикой",Маркетинг
Jobs-To-Be-Done,"концепция, которая помогает понять, как пользователи принимают решение о первой покупке, и сделать прогнозы, будет ли определенный продукт пользоваться спросом",Маркетинг
Динамический контент,"контент на посадочной странице, который меняется в зависимости от поискового запроса, если пользователь приходит с поисковой рекламы в Яндексе & Google, или от набора таргетингов, если он приходит с рекламы в сетях",Маркетинг
Нецелевой клик,клик по рекламному объявлению от ненужных рекламодателю пользователей или ботов,Аналитика
Модель атрибуций,"набор принципов, в соответствии с которым ценность конверсии распределяется по точкам взаимодействия по всему конверсионному пути",Аналитика
Многоканальные последовательности,"отчеты Google Analytics, которые позволяют оценить вклад разных маркетинговых каналов в привлечение клиентов",Аналитика
Пиксель отслеживания,"фрагмент кода, который устанавливается на сайт с целью отслеживания конкретных действий посетителей",Инструменты
Уникальный посетитель,"пользователь с уникальными характеристиками, который заходил на сайт в течение конкретного промежутка времени",Аналитика
UTM-метки,"параметры адреса страницы, которые передают в системы аналитики информацию о переходах посетителя с каждого источника. Это дополнительные «хвосты», которые добавляются к URL-адресам",Аналитика
Менеджер тегов Google (Google Tag Manager),система управления сторонними скриптами на сайте или в мобильном приложении,Инструменты
Омниканальность,"построение коммуникации с целевой аудиторией с помощью различных каналов (email, соцсети, push-уведомления и т.д.), объединенных в единую систему",Маркетинг
Оффлайн-конверсия,"действие пользователя, совершенное вне интернета после взаимодействия с рекламой или сайтом компании (посещение и покупка в магазине, например)",Конверсия
Статистическая достоверность (порог статистической значимости),"показатель, отражающий, что результаты A/B теста можно считать достоверным, поскольку получено достаточное количество трафика",Аналитика
Доверительный интервал,"интервал, в котором результаты А/В тестов признаются заслуживающими доверия (чаще всего 4-5 недель)",Аналитика
AOV (Average Order Value),средняя стоимость заказа или средний чек. Показатель рассчитывается по формуле: Общая сумма заказов / Количество заказов,Метрики
CTR (показатель кликабельности),"метрика, обозначающая соотношение кликов по рекламному объявлению (а также ссылке или баннеру) к числу его показов. Показатель рассчитывается по формуле: Сумма кликов / Сумма показов*100%",Метрики
Коэффициент конверсии (показатель конверсии),"процент посетителей страницы, совершивших конверсионное действие (звонок, заявку, заказ)",Метрики
Оптимизация конверсии,"действия, которые повышают привлекательность, удобство и убедительность посадочной страницы с целью повышения конверсии",Маркетинг
LTV (Lifetime Value - пожизненная ценность клиента),"сумма общего дохода компании, которую приносит клиент за всё время сотрудничества с компанией",Метрики
ROAS,"метрика, которая показывает окупаемость расходов на рекламу. Рассчитывается по формуле: = Доход от рекламы / Расход на рекламу",Метрики
ROI,"коэффициент возврата инвестиций, показывающий их прибыльность или убыточность. Рассчитывается по формуле: = (Доход – Расход) / Расход * 100%. ROMI– коэффициент возврата инвестиций с рекламных расходов. Рассчитывается по формуле: ROMI = (Доход от рекламы – Расход на рекламу) / Расход на рекламу * 100%. Формула идентична формуле , но в данном случае мы анализируем исключительно рекламные инвестиции",Метрики
Релевантность,"характеристика сайта, рекламы, информации, которая заключается в соответствии потребности или запросу",Аналитика
Гиперсегментация,"концепция, которая предполагает разделение трафика на микросегменты по потребностям (исходя из ключевых фраз & таргетингов); создание ценностных предложений под каждый микросегмент и показ этих предложений на сайте с помощью подмены контента",Маркетинг
Лиды,"потенциальные клиенты, которые оставили свою контактную информацию через форму заявки на посадочной странице, заказ обратного звонка или онлайн-чат",Аудитория
Лидогенерация,действия по привлечению лидов,Маркетинг
Лид-магнит,"бесплатный ценный продукт (электронная книга, презентация, инфографика, руководство, чек-лист и т.д.), который предлагается посетителю сайта с целью побудить его в дальнейшем на покупку основного продукта",Маркетинг
Социальные доказательства,"отзывы клиентов, обзоры продукции и другая информация от пользователей продукта, которая помогает другим пользователям в принятии решения о покупке",Маркетинг
Cross-sell (перекрестные продажи),продажи дополнительных товаров существующим клиентам,Маркетинг
Upsell,"маркетинговый прием, при котором пользователю предлагают купить более дорогую и продвинутую версию товара, чем та, что он уже выбрал",Маркетинг
ЦА,"Целевая аудитория, потенциальные клиенты компании, которым вы хотите показать рекламу или предложить промоакцию. Определяют по разным признакам: полу, возрасту, семейному положению, геолокации, профессии или интересам.",Маркетинг
Лид,"(от англ. lead) Пользователь, который заинтересовался вашим бизнесом и оставил контакт. Обычно это почта или телефон, которые дальше используют в воронке продаж.",Продажи
Лендинг,"— это посадочная страница, куда компания приводит трафик с рекламы. Он побуждает пользователя совершить нужное бизнесу действие: зарегистрироваться, подписаться, сделать заказ или оставить заявку.",Маркетинг
Дистрибуция,"(от англ. distribution) Каналы продвижения и реализации товара. Например, компания, которая производит полотенца, может продвигать их с помощью таргетированной рекламы, баннеров в магазинах-партнёрах и платного места на маркетплейсах.",Маркетинг
Гайдлайн,"(от англ. guideline) Технический документ, в котором подробно описано, как использовать элементы фирменного стиля компании. Например, какие шрифты и цвета должны быть на сайте, билбордах и в печатной рекламе.",Брендинг
Платформа бренда,"— документ с описанием ценностей, правил и идей компании. Платформу используют, чтобы сформировать уникальный образ бренда и выделиться на фоне конкурентов.",Брендинг
SEO,"— это методы оптимизации сайта, благодаря которым он оказывается выше в поисковой выдаче, чем страницы конкурентов.",Маркетинг
Метатеги,"— элементы HTML-кода сайта, которые помогают поисковику понять, какой контент находится у вас на странице, оценить, насколько он полезен, и показать его пользователям в ответ на похожие запросы.",Технологии
Пиксель,"— фрагмент кода, который отслеживает действия пользователей после того, как они перешли на сайт с рекламы: на что смотрели, куда нажимали и как долго изучали страницы.",Технологии
Медиасплит,"— разделение бюджета рекламной кампании по критериям. Например, по каналу, месяцу или содержанию объявления.",Маркетинг
Виральность,"— характеристика контента, по которой определяют, с какой вероятностью пользователи поделятся публикацией.",Маркетинг
Посев в социальных сетях,"(сидинг) — рекламный пост в стороннем канале или сообществе, например, владелец автомастерской может разместить рекламу в группе любителей BMW.",Маркетинг
СТА,"(Call to Action) — элемент, который призывает читателя совершить целевое действие. Например, подписаться на канал или купить товар.",Маркетинг
Конверсия в продажах,"— метрика, которая показывает, сколько процентов потенциальных клиентов компании совершили покупку.",Продажи
Кликабельность рекламы,"или CTR (от англ. Click-Through Rate) — процент пользователей, которые нажали на ссылку, изображение или кнопку в рекламе.",Маркетинг
Коэффициент вовлечённости,"(Engagement Rate) — метрика, показывающая, сколько человек активно взаимодействуют с постами в социальных сетях: ставят лайки, пишут комментарии и делают репосты.",Маркетинг
Маржа,"(от англ. margin) — разница между ценой товара и его себестоимостью, показывающая прибыльность бизнеса.",Финансы
Охват,"— число уникальных пользователей, которые увидели рекламное объявление или пост в соцсетях.",Маркетинг
Пожизненная ценность клиента,"или LTV (Lifetime Value) — показатель, определяющий, сколько денег может принести клиент за всё время взаимодействия с компанией.",Финансы
САС,"(Cost Customer Acquisition) — итоговая стоимость привлечения одного клиента. Чтобы рассчитать CAC, нужно разделить сумму всех расходов на число покупателей.",Финансы
KPI,"(Key Performance Indicators) — ключевые показатели эффективности, помогающие оценить, насколько хорошо работают сотрудники и бизнес-процессы.",Управление
СРО,"(Cost per Order) — показатель стоимости заказа, рассчитываемый как рекламный бюджет, делённый на количество покупок или заказов от объявлений.",Финансы
CPL,"(Cost per Lead) — показатель стоимости лида, рассчитываемый как рекламный бюджет, делённый на количество полученных лидов.",Финансы
CPC,"(Cost per Click) — стоимость клика по ссылке, вычитаемая из рекламного бюджета каждый раз, когда пользователь нажимает на объявление.",Финансы
ROMI,"— метрика, измеряющая окупаемость маркетинга, показывающая эффективность рекламных вложений.",Финансы
Конкурентное преимущество,"— уникальные характеристики компании, которые выгодно отличают её от других.",Маркетинг
УТП,"— уникальное торговое предложение, формируемое на основе конкурентных преимуществ компании.",Маркетинг
Кросс-сейл,"или кросс-селл (от англ. cross-sell) — техника продаж, когда покупателям предлагают взять дополнительные товары.",Продажи
Рыночная цена,— средняя цена товара или услуги по рынку.,Маркетинг
Jobs To Be Done,"— теория о пользователях, которая помогает понять, как люди решаются на первую покупку.",Маркетинг
Персональный бренд,"это уникальный образ человека, лидера мнений в той или иной сфере. Этот образ включает в себя несколько компонентов: профессиональные навыки, опыт, достижения, черты характера, поступки, убеждения, ценности, идеи и имидж. Причём важна именно их совокупность: имя эксперта должно вызывать у целевой аудитории конкретные ассоциации и ожидания",Личный брендинг
